지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2010-01-01 1:00,-11,0,,,1.2,0,290,0,45,0,1.2,-20.6,1012.5,0,1023.8,0,,9,,2.2,,,,,,,,,-6.5,0,-4.7,-2.1,-0.6,0.6
108,서울,2010-01-01 2:00,-11.1,0,,,1.7,0,20,0,46,0,1.2,-20.4,1012.5,0,1023.8,0,,9,,2.2,,,,,,,,,-6.5,0,-4.8,-2.1,-0.6,0.6
108,서울,2010-01-01 3:00,-12.1,0,,,1.6,0,20,0,54,0,1.3,-19.5,1012.7,0,1024.1,0,,9,,2.2,,0,0,,,2000,16,,-6.7,0,-4.9,-2.2,-0.7,0.6
108,서울,2010-01-01 4:00,-12.3,0,,,1.4,0,20,0,53,0,1.3,-19.9,1012.4,0,1023.8,0,,9,,2.2,,0,0,,,2000,,,-6.8,0,-5,-2.3,-0.7,0.6
108,서울,2010-01-01 5:00,-12.4,0,,,1.6,0,20,0,54,0,1.3,-19.8,1012.2,0,1023.6,0,,9,,2.2,,0,0,,,2000,,,-7,0,-5.1,-2.4,-0.8,0.5
108,서울,2010-01-01 6:00,-12.4,0,,,1.6,0,20,0,57,0,1.4,-19.1,1012.2,0,1023.6,0,,9,,2.2,,0,0,,,2000,,,-7.1,0,-5.2,-2.4,-0.8,0.5
108,서울,2010-01-01 7:00,-12.7,0,,,1.6,0,50,0,52,0,1.2,-20.5,1012.3,0,1023.7,0,,9,,2.2,,0,0,,,2000,,,-7.2,0,-5.3,-2.5,-0.9,0.5
108,서울,2010-01-01 8:00,-12.6,0,,,1.5,0,50,0,54,0,1.3,-20,1012.1,0,1023.5,0,0,0,0,2.2,,0,0,,,2300,,,-7.2,0,-5.4,-2.6,-0.9,0.5
108,서울,2010-01-01 9:00,-11.7,0,,,1.6,0,50,0,43,0,1.1,-21.7,1012.3,0,1023.6,0,0.8,0,0.25,2.2,,0,0,,,2300,16,,-7,0,-5.3,-2.6,-1,0.5
108,서울,2010-01-01 10:00,-9.1,0,,,1,0,110,0,36,0,1.1,-21.4,1012.4,0,1023.6,0,1,0,0.76,2.2,,0,0,,,2300,,,-6.3,0,-4.9,-2.5,-1,0.4
108,서울,2010-01-01 11:00,-8,0,,,1,0,70,0,32,0,1.1,-21.8,1012.3,0,1023.5,0,0.7,0,1.05,2.1,,6,4,ScAc,10,2200,,,-5,0,-4.2,-2.4,-1.1,0.4
108,서울,2010-01-01 12:00,-6.1,0,,,1.3,0,200,0,34,0,1.3,-19.4,1011,0,1022.1,0,1,0,1.51,2.1,,2,0,Ci,,2000,,,-3.4,0,-3.3,-2,-1,0.4
108,서울,2010-01-01 13:00,-5.4,0,,,1.2,0,180,0,35,0,1.4,-18.4,1010.2,0,1021.2,0,0.7,0,1.45,2.1,,7,3,ScCi,10,2000,,,-2.5,0,-2.5,-1.6,-0.9,0.3
108,서울,2010-01-01 14:00,-4.6,0,,,1,0,20,0,36,0,1.6,-17.4,1009.7,0,1020.7,0,0.8,0,1.45,2.1,,3,3,Sc,10,1800,,,-1.8,0,-1.9,-1.3,-0.7,0.4
108,서울,2010-01-01 15:00,-3.7,0,,,1.7,0,70,0,39,0,1.8,-15.6,1009.5,0,1020.5,0,0.9,0,1.2,2,,5,5,Sc,10,1800,16,,-1.7,0,-1.5,-1,-0.7,0.3
108,서울,2010-01-01 16:00,-4.2,0,,,1.8,0,70,0,41,0,1.8,-15.5,1009.6,0,1020.6,0,1,0,0.7,2,,0,0,,,1800,,,-2,0,-1.4,-0.9,-0.6,0.3
108,서울,2010-01-01 17:00,-4.6,0,,,1.7,0,90,0,43,0,1.9,-15.3,1009.5,0,1020.5,0,0.4,0,0.25,1.9,,0,0,,,1800,,,-2.5,0,-1.5,-0.7,-0.5,0.4
