일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2020-05-01 05:58:46.606,32.7971,122.0920,32.5,대지방전
2020-05-01 08:26:57.627,31.5555,121.2750,111.1,대지방전
2020-05-01 08:46:13.714,32.6614,121.5040,47.1,대지방전
2020-05-01 09:01:39.602,32.1031,121.0460,74.6,대지방전
2020-05-01 09:08:51.972,33.0367,121.4370,-36.5,대지방전
2020-05-01 09:43:30.111,33.0753,121.7850,90.1,대지방전
2020-05-01 09:58:46.218,32.9067,121.2710,103.9,대지방전
2020-05-01 10:05:26.083,34.6176,125.3360,-13.7,대지방전
2020-05-01 10:16:52.148,33.2304,121.0670,89.8,대지방전
2020-05-01 12:09:27.705,34.5422,123.2530,-33.6,구름방전
2020-05-01 12:44:25.945,33.8253,121.3170,117.5,대지방전
2020-05-01 13:12:52.593,38.7971,126.9870,-9.3,대지방전
2020-05-01 13:49:18.168,37.0321,129.3930,8.4,대지방전
2020-05-01 21:57:30.673,38.5643,128.3770,19.8,구름방전
2020-05-01 22:23:47.905,42.9836,131.8360,98.9,대지방전
2020-05-02 03:00:53.371,35.7326,126.1320,6.5,구름방전
2020-05-02 09:28:22.834,34.0725,121.1690,44.5,대지방전
2020-05-02 09:39:50.341,35.5327,120.8620,-49.7,대지방전
2020-05-02 09:54:40.774,33.8716,121.2350,-59.3,대지방전
2020-05-02 09:59:17.589,33.8121,121.3640,-72.9,대지방전
2020-05-02 10:05:58.143,33.8301,121.3710,43.4,대지방전
2020-05-02 10:26:51.626,33.4092,121.0470,-40.7,대지방전
2020-05-02 10:40:11.797,35.7200,125.8540,-8.6,대지방전
2020-05-02 10:43:39.073,36.0483,130.3440,16.5,대지방전
2020-05-02 10:51:16.146,33.5567,121.2810,-63.7,대지방전
2020-05-02 10:54:15.327,33.9617,121.2240,-46.5,대지방전
2020-05-02 10:56:57.431,34.0448,121.5640,-45.2,대지방전
2020-05-02 10:59:37.784,33.6021,121.1330,-61.9,대지방전
2020-05-02 11:00:31.978,34.0953,121.6520,-32.0,대지방전
2020-05-02 11:01:58.209,34.0016,121.1280,-98.8,대지방전
2020-05-02 11:04:14.931,34.0993,121.6520,-37.7,대지방전
2020-05-02 11:04:14.951,34.0833,121.5880,-26.2,대지방전
2020-05-02 11:04:15.012,34.1048,121.6630,-32.8,대지방전
2020-05-02 11:08:41.899,34.0543,121.1090,-82.0,대지방전
2020-05-02 11:09:16.466,34.1512,121.7190,-47.7,대지방전
2020-05-02 11:10:12.147,34.2118,121.6800,-38.1,대지방전
2020-05-02 11:12:06.207,34.1162,121.2930,-101.3,대지방전
2020-05-02 11:16:21.531,33.7518,121.3050,-105.9,대지방전
2020-05-02 11:24:10.594,34.1898,121.8350,31.1,구름방전
2020-05-02 11:26:40.098,34.2066,121.8120,-75.3,대지방전
2020-05-02 11:28:15.202,35.0541,120.7560,-61.2,대지방전
2020-05-02 11:35:12.267,34.2089,121.8880,-33.3,대지방전
2020-05-02 11:35:35.358,34.0090,121.3680,-81.7,대지방전
2020-05-02 11:43:38.578,33.6932,121.4710,-31.9,대지방전
2020-05-02 11:52:41.045,35.7972,121.0200,26.7,대지방전
2020-05-02 11:52:51.880,34.3220,121.9230,-56.9,대지방전
2020-05-02 11:52:51.923,34.3227,121.9230,-39.1,대지방전
2020-05-02 11:52:52.400,33.7910,121.5310,-60.9,대지방전
2020-05-02 11:53:55.856,34.1478,122.1010,-32.7,대지방전
2020-05-02 11:53:57.854,34.3771,121.9020,-48.7,대지방전
2020-05-02 11:54:15.680,34.2119,121.6480,-76.7,대지방전
2020-05-02 11:55:02.838,33.5011,121.5380,-57.7,대지방전
2020-05-02 11:55:24.848,33.8080,121.4610,-54.8,대지방전
2020-05-02 11:55:48.037,34.0997,121.4620,-52.4,대지방전
2020-05-02 11:55:58.679,34.3140,121.9450,-35.6,대지방전
2020-05-02 11:56:42.814,34.1951,121.5680,-96.4,대지방전
2020-05-02 11:58:13.021,34.9290,121.2720,-48.7,대지방전
2020-05-02 12:04:36.956,34.4049,122.0640,-51.1,대지방전
2020-05-02 12:07:35.429,34.4010,122.0110,-39.0,대지방전
2020-05-02 12:10:53.631,34.2795,121.9390,-31.6,대지방전
2020-05-02 12:11:22.615,35.7769,121.4750,-45.0,대지방전
2020-05-02 12:15:31.812,33.8782,121.6650,-54.1,대지방전
2020-05-02 12:18:38.876,34.2680,121.7270,-57.6,대지방전
2020-05-02 12:18:38.967,34.2872,121.7280,-26.6,대지방전
2020-05-02 12:25:46.122,33.7073,121.8350,-27.5,대지방전
2020-05-02 12:25:49.969,34.3307,121.7690,-53.5,대지방전
2020-05-02 12:26:26.000,34.3539,121.8330,-53.6,대지방전
2020-05-02 12:28:46.719,34.5604,122.3570,-37.3,대지방전
2020-05-02 12:29:01.181,33.7895,121.6810,-23.5,대지방전
2020-05-02 12:33:08.982,33.8748,121.7670,-63.8,대지방전
2020-05-02 12:35:54.237,34.5221,122.1430,-41.7,대지방전
2020-05-02 12:37:06.019,34.5259,122.1650,-48.5,대지방전
2020-05-02 12:41:19.487,33.8087,122.0290,-49.5,대지방전
2020-05-02 12:42:05.130,34.0627,121.9030,-33.1,대지방전
2020-05-02 12:42:41.889,33.8119,121.9930,-50.1,대지방전
2020-05-02 12:44:46.948,34.5549,122.0620,-40.1,대지방전
2020-05-02 12:45:39.970,33.8190,121.9900,-42.1,대지방전
2020-05-02 12:46:19.637,34.4582,122.0150,-49.7,대지방전
2020-05-02 12:46:19.749,34.4695,122.0340,-31.7,대지방전
2020-05-02 12:50:43.004,33.8252,122.0270,43.1,대지방전
2020-05-02 12:50:43.008,33.8458,122.0840,-78.1,대지방전
2020-05-02 12:51:50.311,33.8090,121.9770,-42.6,대지방전
2020-05-02 12:54:47.201,34.7321,122.0720,57.1,대지방전
2020-05-02 12:54:47.629,34.6355,122.0630,-48.0,대지방전
2020-05-02 12:56:15.933,34.1673,122.0740,38.2,대지방전
2020-05-02 12:58:19.747,34.2565,121.9100,-43.8,대지방전
2020-05-02 12:59:37.545,34.2545,121.9260,-64.8,대지방전
2020-05-02 13:00:01.009,33.8447,121.8990,-42.9,대지방전
2020-05-02 13:05:46.566,34.6261,122.0590,29.1,대지방전
2020-05-02 13:07:44.218,33.9505,122.1290,-39.4,대지방전
2020-05-02 13:10:12.443,34.3870,121.9880,-56.3,대지방전
2020-05-02 13:19:15.648,34.7154,122.2940,-57.2,대지방전
2020-05-02 13:20:00.953,34.7215,122.2910,-48.9,대지방전
2020-05-02 13:21:57.546,34.1765,121.5100,-67.7,대지방전
2020-05-02 13:22:26.894,35.3925,121.8960,-36.3,대지방전
2020-05-02 13:22:31.585,34.7395,122.2390,-34.3,대지방전
2020-05-02 13:27:05.204,34.7452,122.2320,-65.0,대지방전
2020-05-02 13:27:09.435,34.0274,121.7050,45.2,대지방전
2020-05-02 13:27:34.788,34.6662,122.0340,35.2,대지방전
2020-05-02 13:39:15.603,34.2349,122.3400,-54.4,대지방전
2020-05-02 13:43:41.212,34.0307,121.8480,-28.5,대지방전
2020-05-02 13:44:28.239,34.8160,122.3370,-38.9,대지방전
2020-05-02 13:44:52.700,34.2491,122.3590,-38.3,대지방전
2020-05-02 13:46:14.120,34.2751,122.2310,-30.5,대지방전
2020-05-02 13:46:35.923,34.2418,122.3840,-37.4,대지방전
2020-05-02 13:48:52.894,34.2690,122.4070,-41.8,대지방전
2020-05-02 13:49:18.407,34.1966,121.6420,-51.7,대지방전
2020-05-02 13:50:44.279,33.9389,121.7700,27.3,대지방전
2020-05-02 13:50:50.152,34.4308,122.1790,-40.4,대지방전
2020-05-02 13:51:33.385,34.3076,122.4410,-24.9,대지방전
2020-05-02 13:51:52.747,34.5887,122.2110,-46.5,대지방전
2020-05-02 13:53:33.636,34.8536,122.2590,-60.4,대지방전
2020-05-02 13:57:42.190,34.4119,122.3580,-25.5,대지방전
2020-05-02 13:59:38.992,34.6323,122.4790,-49.0,대지방전
2020-05-02 14:00:30.700,34.9214,122.3080,-105.8,대지방전
2020-05-02 14:00:30.722,34.9156,122.3100,-43.2,대지방전
2020-05-02 14:00:58.092,34.2174,122.0070,-47.6,대지방전
2020-05-02 14:01:37.049,34.5478,122.3770,-36.6,대지방전
2020-05-02 14:01:53.711,34.9302,122.3230,-72.2,대지방전
2020-05-02 14:03:53.484,34.3130,121.6700,-87.3,대지방전
2020-05-02 14:05:21.943,34.3916,122.4590,-39.2,대지방전
2020-05-02 14:05:22.051,34.3706,122.3830,-55.2,대지방전
2020-05-02 14:07:28.938,34.3962,122.4160,-34.9,대지방전
2020-05-02 14:11:48.873,34.4034,122.3740,-35.5,대지방전
2020-05-02 14:12:19.989,34.3308,122.0430,-47.3,대지방전
2020-05-02 14:12:20.075,34.3283,121.9890,-39.5,대지방전
2020-05-02 14:14:10.409,34.4273,122.4860,-62.9,대지방전
2020-05-02 14:16:01.862,34.5617,122.4390,42.0,대지방전
2020-05-02 14:17:12.306,34.0735,121.8880,-43.1,대지방전
2020-05-02 14:17:46.140,34.9379,122.4450,-61.8,대지방전
2020-05-02 14:17:54.702,34.0703,121.8380,-36.1,대지방전
2020-05-02 14:19:10.626,34.8017,122.5150,-39.2,대지방전
2020-05-02 14:19:50.723,34.3913,122.0920,-38.1,대지방전
2020-05-02 14:21:42.419,34.2843,121.8640,-37.0,대지방전
2020-05-02 14:22:21.938,34.4979,122.5490,-49.6,대지방전
2020-05-02 14:22:40.422,34.2771,122.0660,27.3,대지방전
2020-05-02 14:24:44.188,34.4915,122.5370,-42.4,대지방전
2020-05-02 14:25:09.698,34.1612,121.9480,-33.8,대지방전
2020-05-02 14:25:42.568,34.4925,122.5360,-44.4,대지방전
2020-05-02 14:26:26.683,34.5336,122.5230,-37.1,대지방전
2020-05-02 14:27:44.819,34.5292,122.2180,-44.7,대지방전
2020-05-02 14:32:21.945,34.7681,122.5990,34.2,대지방전
2020-05-02 14:32:32.008,34.5637,122.5240,-37.3,대지방전
2020-05-02 14:32:37.156,34.6627,122.3120,37.4,대지방전
2020-05-02 14:33:32.482,34.5496,122.5620,-61.7,대지방전
2020-05-02 14:35:41.172,34.2184,122.0310,-30.2,대지방전
2020-05-02 14:37:17.507,34.9032,122.5260,-34.8,대지방전
2020-05-02 14:38:27.707,34.7351,122.6870,37.4,대지방전
2020-05-02 14:39:20.189,33.8379,122.1990,-42.9,대지방전
2020-05-02 14:43:11.732,35.2120,122.5720,52.1,대지방전
2020-05-02 14:43:17.852,33.8703,122.2200,-48.0,대지방전
2020-05-02 14:43:56.374,33.8687,122.2200,-30.1,대지방전
2020-05-02 14:43:56.690,33.8863,122.2560,-35.9,대지방전
2020-05-02 14:44:17.013,34.6209,122.5970,41.2,대지방전
2020-05-02 14:46:20.079,35.2441,122.4540,61.1,대지방전
2020-05-02 14:46:27.290,33.9057,122.2160,-52.3,대지방전
2020-05-02 14:47:37.839,35.0104,122.4820,-26.5,대지방전
2020-05-02 14:48:49.750,34.2998,122.1180,-51.8,대지방전
2020-05-02 14:50:15.555,33.9351,122.2810,-31.5,대지방전
2020-05-02 14:50:16.113,34.7479,122.9150,-36.7,대지방전
2020-05-02 14:50:43.846,34.3209,122.1510,-33.7,대지방전
2020-05-02 14:51:13.612,34.4272,122.1640,-42.7,대지방전
2020-05-02 14:51:42.372,34.9579,122.6870,24.3,대지방전
2020-05-02 14:57:17.506,34.7854,122.7330,43.9,대지방전
2020-05-02 14:57:17.582,34.6519,122.4450,38.5,대지방전
2020-05-02 14:57:26.248,34.7720,122.9270,-52.9,대지방전
