위도,경도,경도
34.4 ,126.0 ,127.1 
34.5 ,126.0 ,127.5 
34.6 ,126.0 ,127.6 
34.7 ,125.9 ,128.3 
34.8 ,125.9 ,128.7 
34.9 ,126.0 ,128.8 
35.0 ,126.1 ,129.0 
35.1 ,126.0 ,129.1 
35.2 ,126.3 ,129.2 
35.3 ,126.4 ,129.3 
35.4 ,126.4 ,129.4 
35.5 ,126.5 ,129.5 
35.6 ,126.5 ,129.5 
35.7 ,126.6 ,129.5 
35.8 ,126.6 ,129.5 
35.9 ,126.6 ,129.6 
36.0 ,126.6 ,129.6 
36.1 ,126.6 ,129.5 
36.2 ,126.5 ,129.4 
36.3 ,126.5 ,129.4 
36.4 ,126.4 ,129.5 
36.5 ,126.3 ,129.5 
36.6 ,126.2 ,129.4 
36.7 ,126.1 ,129.4 
36.8 ,126.1 ,129.4 
36.9 ,126.2 ,129.4 
37.0 ,126.3 ,129.4 
37.1 ,126.6 ,129.3 
37.2 ,126.4 ,129.3 
37.3 ,126.3 ,129.3 
37.4 ,126.3 ,129.2 
37.5 ,126.3 ,129.1 
37.6 ,126.1 ,129.0 
37.7 ,126.2 ,129.0 
37.8 ,126.6 ,128.8 
37.9 ,126.6 ,128.8 
38.0 ,126.7 ,128.7 
38.1 ,126.8 ,128.6 
38.2 ,126.9 ,128.5 
38.3 ,127.1 ,128.5 
